class,f1_per_class
Vip Arhgap36 Hmcn1,0.8681318681318682
Vip Crispld2 Htr2c,0.8244274809160306
Lamp5 Plch2 Dock5,0.8220064724919094
Sncg Vip Itih5,0.7755102040816326
Vip Crispld2 Kcne4,0.84
Vip Lect1 Oxtr,0.8653846153846154
Lamp5 Lsp1,0.937219730941704
Vip Chat Htr1f,0.8129032258064516
Vip Pygm C1ql1,0.7737226277372262
Lamp5 Krt73,0.8837209302325583
Pvalb Tpbg,0.9223529411764706
Lamp5 Fam19a1 Tmem182,0.5833333333333334
Lamp5 Fam19a1 Pax6,0.7027027027027026
Vip Igfbp6 Car10,0.6333333333333334
Lamp5 Ntn1 Npy2r,0.6845637583892616
Vip Igfbp6 Pltp,0.8717948717948718
Pvalb Reln Tac1,0.8823529411764705
Sst Chrna2 Ptgdr,0.7368421052631579
Sst Hpse Cbln4,0.5
Sst Hpse Sema3c,0.8928571428571429
Vip Igfbp4 Mab21l1,0.6341463414634146
Pvalb Vipr2,0.9545454545454545
Sst Rxfp1 Prdm8,0.8759124087591241
Sst Nr2f2 Necab1,0.8108108108108109
Pvalb Calb1 Sst,0.6470588235294118
Sst Chrna2 Glra3,0.7783251231527093
Sncg Gpr50,0.88
Pvalb Gabrg1,0.9599999999999999
L6 CT VISp Nxph2 Wls,0.935064935064935
L6 CT VISp Ctxn3 Sla,0.8218390804597702
L6 CT VISp Krt80 Sla,0.748663101604278
L6 CT VISp Gpr139,0.8169014084507042
L6 CT VISp Ctxn3 Brinp3,0.8593155893536121
L6b VISp Col8a1 Rxfp1,0.8620689655172413
L6 IT VISp Penk Col27a1,0.949438202247191
L6 IT VISp Penk Fst,0.7647058823529411
L6 IT VISp Col23a1 Adamts2,0.8387096774193549
Sst Crhr2 Efemp1,0.8314606741573033
L2/3 IT VISp Adamts2,0.8316831683168316
L2/3 IT VISp Rrad,0.7529411764705882
Sst Tac1 Tacr3,0.6976744186046512
L2/3 IT VISp Agmat,0.9317851959361394
Sst Calb2 Pdlim5,0.8440366972477065
Sst Rxfp1 Eya1,0.7999999999999999
Lamp5 Lhx6,1.0
Sst Chodl,1.0
Sst Tac1 Htr1d,0.7079646017699115
Vip Ptprt Pkp2,0.8730964467005076
Sncg Slc17a8,1.0
Pvalb Gpr149 Islr,0.8823529411764706
Sst Mme Fam114a1,0.588235294117647
Sst Tac2 Tacstd2,0.5714285714285714
Pvalb Th Sst,0.6
Sst Crh 4930553C11Rik ,0.6538461538461539
Pvalb Sema3e Kank4,0.46153846153846156
L6 IT VISp Col18a1,0.8875739644970414
L4 IT VISp Rspo1,0.9896755162241887
L5 NP VISp Trhr Met,0.9664429530201343
L5 NP VISp Trhr Cpne7,0.9685534591194969
L5 IT VISp Batf3,0.9521531100478469
L6 IT VISp Car3,0.9577464788732395
Vip Rspo4 Rxfp1 Chat,0.5333333333333333
Vip Gpc3 Slc18a3,0.8041237113402062
Pvalb Reln Itm2a,0.5853658536585366
Serpinf1 Aqp5 Vip,0.0
Sst Myh8 Fibin,0.8205128205128205
Sst Myh8 Etv1 ,0.6756756756756757
Sst Esm1,0.8787878787878788
Serpinf1 Clrn1,0.7499999999999999
Vip Col15a1 Pde1a,0.2727272727272727
Sncg Vip Nptx2,0.6470588235294117
Vip Lmo1 Myl1,0.7692307692307693
L5 IT VISp Hsd11b1 Endou,0.8730964467005077
L5 PT VISp C1ql2 Ptgfr,0.8846153846153846
L5 IT VISp Col27a1,0.9473684210526315
Sst Nts,0.8148148148148148
Sst Tac2 Myh4,0.16666666666666669
Pvalb Akr1c18 Ntf3,0.6779661016949152
Vip Lmo1 Fam159b,0.8181818181818182
L5 PT VISp Krt80,0.9391304347826087
Astro Aqp4,0.888888888888889
L6 CT ALM Nxph2 Sla,0.5
L6b VISp Col8a1 Rprm,0.8235294117647058
Vip Rspo1 Itga4,0.7096774193548387
L5 IT VISp Whrn Tox2,0.48148148148148157
L5 PT VISp Chrna6,0.9777777777777777
L5 IT VISp Col6a1 Fezf2,0.7999999999999999
L5 PT VISp C1ql2 Cdh13,0.8200000000000001
L5 PT VISp Lgr5,0.7058823529411764
Sst Calb2 Necab1,0.11111111111111112
L6b P2ry12,0.9019607843137256
L6b VISp Mup5,0.9285714285714286
L6b VISp Crh,0.7777777777777778
