class,f1_per_class
Neutrophils,0.9047767717764595
CD4,0.6997455470737914
exhaust,0.5555555555555556
Alveolar,0.7805145046524357
CD8,0.5507246376811595
Treg,0.7412587412587412
suspected,0.5847953216374269
Unspec-CD8,0.7951807228915663
recruited,0.6031746031746031
Plasmacell,0.7878787878787877
recruited-activated,0.7631423508564678
Unspec-CD4-1,0.4237485448195576
Cytotox,0.4574616457461646
naive2,0.44314868804664725
naive1,0.4952120383036936
EMRA,0.0
Unident-Prolif,0.20967741935483875
cyto2,0.6833333333333333
Unident-L,0.2580645161290323
Mucous,0.8505747126436782
IFN,0.5311203319502074
Ciliated,0.9292035398230089
Undefined,0.2706766917293233
MAIT,0.37037037037037035
Mast-cells,0.9333333333333333
cyto1,0.4888888888888889
Tfh,0.3577981651376147
apopt,0.22727272727272724
activ,0.0
Unspec-Epi,0.75
iNKT,0.4347826086956522
Th17,0.10227272727272728
patrolling,0.7078651685393259
cDC3,0.3396226415094339
DCmig,0.38095238095238093
Basal,0.19999999999999998
Unspec-CD4-2,0.0
NK,0.47058823529411764
cDC2B,0.6470588235294117
inf,0.4090909090909091
Naive,0.0
B,0.6470588235294118
cDC1,0.6
pDC,0.8
Plasmablast,0.33333333333333337
resident-interstitial,0.0
cDC2A,0.0
