class,f1_per_class
naive1,0.5071428571428571
CD4,0.713189113747383
recruited,0.5963302752293579
activ,0.1111111111111111
Neutrophils,0.903784477228993
suspected,0.6462093862815885
NK,0.6181818181818182
exhaust,0.5991111111111111
Tfh,0.33027522935779813
naive2,0.4949494949494949
Unspec-CD8,0.7927656367746796
CD8,0.6278409090909091
cyto1,0.45901639344262296
recruited-activated,0.7408656548622822
Ciliated,0.9482758620689655
MAIT,0.17391304347826086
Alveolar,0.7260115606936417
Treg,0.6956521739130435
cDC1,0.5
Cytotox,0.4931506849315069
inf,0.49056603773584906
Th17,0.14723926380368096
Mast-cells,0.8571428571428571
IFN,0.5585585585585586
patrolling,0.6524064171122994
Unspec-CD4-1,0.3923076923076923
Undefined,0.23943661971830982
B,0.717948717948718
Plasmacell,0.7368421052631579
apopt,0.1951219512195122
cyto2,0.5468750000000001
Unident-L,0.22758620689655173
Unspec-CD4-2,0.0
Unspec-Epi,0.6153846153846153
Plasmablast,0.0
Mucous,0.868421052631579
Unident-Prolif,0.31884057971014496
cDC3,0.40740740740740733
pDC,0.6153846153846154
resident-interstitial,0.18181818181818182
DCmig,0.5185185185185186
Basal,0.7058823529411765
iNKT,0.33333333333333337
cDC2A,0.33333333333333326
cDC2B,0.48484848484848486
EMRA,0.0
Naive,0.12500000000000003
