class,f1_per_class
Neutrophils,0.9047767717764595
CD4,0.7017766497461929
exhaust,0.5576407506702413
Alveolar,0.7825148407987048
CD8,0.548956661316212
Treg,0.7412587412587412
suspected,0.5878877400295421
Unspec-CD8,0.7945823927765238
recruited,0.5994694960212202
Plasmacell,0.7096774193548387
recruited-activated,0.7593582887700535
Unspec-CD4-1,0.419838523644752
Cytotox,0.46582984658298465
naive2,0.4418604651162791
naive1,0.4958904109589041
EMRA,0.0
Unident-Prolif,0.21311475409836064
cyto2,0.6833333333333333
Unident-L,0.2588996763754045
Mucous,0.8505747126436782
IFN,0.5333333333333333
Ciliated,0.9292035398230089
Undefined,0.2857142857142857
MAIT,0.37037037037037035
Mast-cells,0.9090909090909091
cyto1,0.4888888888888889
Tfh,0.35944700460829493
apopt,0.22727272727272724
activ,0.0
Unspec-Epi,0.75
iNKT,0.4347826086956522
Th17,0.10285714285714286
patrolling,0.7159090909090909
cDC3,0.34615384615384615
DCmig,0.38095238095238093
Basal,0.19999999999999998
Unspec-CD4-2,0.0
NK,0.47058823529411764
cDC2B,0.6470588235294117
inf,0.4090909090909091
Naive,0.0
B,0.6470588235294118
cDC1,0.6
pDC,0.8
Plasmablast,0.4615384615384615
resident-interstitial,0.0
cDC2A,0.0
