class,f1_per_class
Lamp5 Lsp1,0.9225352112676056
Lamp5 Plch2 Dock5,0.8349514563106797
Vip Lect1 Oxtr,0.9253731343283582
Vip Crispld2 Kcne4,0.8169014084507042
Vip Igfbp6 Pltp,0.9166666666666666
Vip Chat Htr1f,0.912621359223301
Vip Pygm C1ql1,0.7126436781609194
Vip Ptprt Pkp2,0.9538461538461539
Pvalb Tpbg,0.9523809523809524
Lamp5 Fam19a1 Tmem182,0.8275862068965518
Lamp5 Krt73,0.962962962962963
Sst Tac1 Tacr3,0.7096774193548386
Sst Hpse Cbln4,0.6666666666666665
Sst Chrna2 Glra3,0.8435374149659864
Pvalb Reln Tac1,0.9243697478991597
Sst Hpse Sema3c,0.9259259259259259
Vip Arhgap36 Hmcn1,0.84375
Sst Chodl,0.9824561403508771
Sst Myh8 Fibin,0.9056603773584906
Pvalb Gabrg1,0.9787234042553191
Sst Chrna2 Ptgdr,0.8809523809523809
L6 CT VISp Ctxn3 Sla,0.8826291079812207
L6 CT VISp Krt80 Sla,0.8510638297872339
L6 CT VISp Gpr139,0.9767441860465117
L6 CT VISp Ctxn3 Brinp3,0.934065934065934
L6 IT VISp Penk Col27a1,0.956896551724138
L6 IT VISp Col18a1,0.9357798165137615
L6 IT VISp Penk Fst,0.793388429752066
Vip Crispld2 Htr2c,0.8536585365853658
L2/3 IT VISp Agmat,0.9707865168539325
Lamp5 Ntn1 Npy2r,0.8392857142857143
L2/3 IT VISp Rrad,0.7936507936507937
L6 IT VISp Col23a1 Adamts2,0.8949416342412451
Sst Tac1 Htr1d,0.8524590163934426
Lamp5 Lhx6,1.0
Lamp5 Fam19a1 Pax6,0.8148148148148148
Sncg Slc17a8,1.0
Sncg Vip Itih5,0.8666666666666667
Pvalb Gpr149 Islr,0.924731182795699
Sst Mme Fam114a1,0.7500000000000001
Sst Tac2 Tacstd2,0.8108108108108109
Pvalb Akr1c18 Ntf3,0.7567567567567567
Sst Rxfp1 Prdm8,1.0
Pvalb Th Sst,0.8648648648648649
Sst Crh 4930553C11Rik ,0.7999999999999999
Sst Esm1,0.9268292682926829
Pvalb Sema3e Kank4,0.761904761904762
Pvalb Reln Itm2a,0.7499999999999999
Sst Calb2 Pdlim5,0.88
L5 PT VISp Chrna6,0.983050847457627
L4 IT VISp Rspo1,0.9966555183946487
L5 NP VISp Trhr Met,0.9423076923076923
L5 IT VISp Batf3,0.9739776951672863
L6 IT VISp Car3,1.0
L5 NP VISp Trhr Cpne7,0.9411764705882353
Vip Igfbp4 Mab21l1,0.6666666666666667
Vip Lmo1 Myl1,0.8627450980392156
Sst Rxfp1 Eya1,0.9714285714285714
Pvalb Calb1 Sst,0.7894736842105263
Sst Nr2f2 Necab1,0.8148148148148148
Sst Myh8 Etv1 ,0.6341463414634148
Vip Gpc3 Slc18a3,0.8666666666666667
Vip Col15a1 Pde1a,0.6363636363636365
Sncg Vip Nptx2,0.8
Vip Igfbp6 Car10,0.6976744186046512
L2/3 IT VISp Adamts2,0.9219858156028369
L5 IT VISp Hsd11b1 Endou,0.9481481481481481
L5 IT VISp Col27a1,0.9166666666666667
Vip Lmo1 Fam159b,0.7777777777777777
L6b VISp Col8a1 Rprm,0.8181818181818181
L6 CT VISp Nxph2 Wls,0.9811320754716981
L6b VISp Mup5,0.8860759493670887
Sst Tac2 Myh4,0.4
Serpinf1 Clrn1,0.5714285714285715
Sst Nts,1.0
Vip Rspo4 Rxfp1 Chat,0.742857142857143
L5 PT VISp Krt80,0.9659863945578231
Sst Crhr2 Efemp1,0.8474576271186441
L5 IT VISp Col6a1 Fezf2,0.8749999999999999
Sst Calb2 Necab1,0.46153846153846156
L5 IT VISp Whrn Tox2,0.8260869565217391
Serpinf1 Aqp5 Vip,0.4444444444444445
Vip Rspo1 Itga4,0.8695652173913044
Sncg Gpr50,1.0
L5 PT VISp C1ql2 Ptgfr,0.9090909090909091
L5 PT VISp C1ql2 Cdh13,0.9066666666666667
Astro Aqp4,1.0
L6b P2ry12,0.9411764705882353
Pvalb Vipr2,1.0
L6 CT ALM Nxph2 Sla,0.3333333333333333
L6b VISp Col8a1 Rxfp1,0.6842105263157895
L6b VISp Crh,0.8461538461538461
L5 PT VISp Lgr5,0.6153846153846153
